	Age	Cell_Line	Treatment	StopReason	G1S_Age_1	G1S_Age_2	CloneID	TrackID	Generation	TP53
24	2.39583333e-01	BT474	control	Division	       NaN	       NaN	2.40000000e+01	1.00000000e+00	0.00000000e+00	wt
25	2.70833333e-01	BT474	control	Division	       NaN	       NaN	2.50000000e+01	1.00000000e+00	0.00000000e+00	wt
26	3.12500000e-01	BT474	control	Division	       NaN	       NaN	2.60000000e+01	1.00000000e+00	0.00000000e+00	wt
27	7.18750000e-01	BT474	control	Division	3.45276498e-01	       NaN	2.70000000e+01	1.00000000e+00	0.00000000e+00	wt
28	1.66666667e-01	BT474	control	Division	       NaN	       NaN	2.80000000e+01	1.00000000e+00	0.00000000e+00	wt
29	3.43750000e-01	BT474	control	Division	4.47580646e-02	       NaN	2.90000000e+01	1.00000000e+00	0.00000000e+00	wt
30	7.70833333e-01	BT474	control	Division	4.53110599e-01	       NaN	3.00000000e+01	1.00000000e+00	0.00000000e+00	wt
31	6.87500000e-01	BT474	control	Division	4.04032258e-01	       NaN	3.10000000e+01	1.00000000e+00	0.00000000e+00	wt
32	3.02083333e-01	BT474	control	Division	       NaN	       NaN	3.20000000e+01	1.00000000e+00	0.00000000e+00	wt
33	1.56250000e-01	BT474	control	Division	       NaN	       NaN	3.30000000e+01	1.00000000e+00	0.00000000e+00	wt
34	7.81250000e-01	BT474	control	Division	5.07027650e-01	       NaN	3.40000000e+01	1.00000000e+00	0.00000000e+00	wt
35	3.22916667e-01	BT474	control	Division	       NaN	       NaN	3.50000000e+01	1.00000000e+00	0.00000000e+00	wt
36	4.37500000e-01	BT474	control	Division	1.21831797e-01	       NaN	3.60000000e+01	1.00000000e+00	0.00000000e+00	wt
37	6.56250000e-01	BT474	control	Division	3.42741936e-01	       NaN	3.70000000e+01	1.00000000e+00	0.00000000e+00	wt
38	1.08333333e+00	BT474	control	Division	6.42021889e-01	       NaN	3.80000000e+01	1.00000000e+00	0.00000000e+00	wt
39	9.37500000e-01	BT474	control	Division	5.43634793e-01	       NaN	3.90000000e+01	1.00000000e+00	0.00000000e+00	wt
40	3.43750000e-01	BT474	control	Division	       NaN	       NaN	4.00000000e+01	1.00000000e+00	0.00000000e+00	wt
41	4.37500000e-01	BT474	control	Division	1.21831797e-01	       NaN	4.10000000e+01	1.00000000e+00	0.00000000e+00	wt
42	2.60416667e-01	BT474	control	Division	       NaN	       NaN	4.20000000e+01	1.00000000e+00	0.00000000e+00	wt
43	4.79166667e-01	BT474	control	Division	1.22695853e-01	       NaN	4.30000000e+01	1.00000000e+00	0.00000000e+00	wt
44	5.62500000e-01	BT474	control	Division	1.69354839e-01	       NaN	4.40000000e+01	1.00000000e+00	0.00000000e+00	wt
45	8.75000000e-01	BT474	control	Division	6.04838710e-01	       NaN	4.50000000e+01	1.00000000e+00	0.00000000e+00	wt
46	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	1.00000000e+00	1.00000000e+00	0.00000000e+00	wt
47	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	2.00000000e+00	1.00000000e+00	0.00000000e+00	wt
48	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	3.00000000e+00	1.00000000e+00	0.00000000e+00	wt
49	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	4.00000000e+00	1.00000000e+00	0.00000000e+00	wt
50	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	5.00000000e+00	1.00000000e+00	0.00000000e+00	wt
51	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	6.00000000e+00	1.00000000e+00	0.00000000e+00	wt
52	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	7.00000000e+00	1.00000000e+00	0.00000000e+00	wt
53	2.20833333e+00	BT474	dox	Apoptosis	       NaN	       NaN	8.00000000e+00	1.00000000e+00	0.00000000e+00	wt
54	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	9.00000000e+00	1.00000000e+00	0.00000000e+00	wt
55	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	1.00000000e+01	1.00000000e+00	0.00000000e+00	wt
56	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	1.10000000e+01	1.00000000e+00	0.00000000e+00	wt
57	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	1.20000000e+01	1.00000000e+00	0.00000000e+00	wt
58	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	1.30000000e+01	1.00000000e+00	0.00000000e+00	wt
59	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	1.40000000e+01	1.00000000e+00	0.00000000e+00	wt
60	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	1.50000000e+01	1.00000000e+00	0.00000000e+00	wt
61	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	1.60000000e+01	1.00000000e+00	0.00000000e+00	wt
62	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	1.70000000e+01	1.00000000e+00	0.00000000e+00	wt
63	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	1.80000000e+01	1.00000000e+00	0.00000000e+00	wt
64	2.02083333e+00	BT474	dox	Apoptosis	       NaN	       NaN	1.90000000e+01	1.00000000e+00	0.00000000e+00	wt
65	2.75000000e+00	BT474	dox	Apoptosis	       NaN	       NaN	2.00000000e+01	1.00000000e+00	0.00000000e+00	wt
66	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	2.10000000e+01	1.00000000e+00	0.00000000e+00	wt
67	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	2.20000000e+01	1.00000000e+00	0.00000000e+00	wt
68	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	2.30000000e+01	1.00000000e+00	0.00000000e+00	wt
69	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	2.40000000e+01	1.00000000e+00	0.00000000e+00	wt
70	5.20833334e-02	BT474	dox	Division	       NaN	       NaN	2.50000000e+01	1.00000000e+00	0.00000000e+00	wt
71	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	2.60000000e+01	1.00000000e+00	0.00000000e+00	wt
72	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	2.70000000e+01	1.00000000e+00	0.00000000e+00	wt
73	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	2.80000000e+01	1.00000000e+00	0.00000000e+00	wt
74	2.96875000e+00	BT474	dox	Endomitosis	4.80414747e-01	       NaN	2.90000000e+01	1.00000000e+00	0.00000000e+00	wt
75	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	3.00000000e+01	1.00000000e+00	0.00000000e+00	wt
76	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	3.10000000e+01	1.00000000e+00	0.00000000e+00	wt
77	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	3.20000000e+01	1.00000000e+00	0.00000000e+00	wt
78	2.96875000e+00	BT474	dox	Not complete	       NaN	       NaN	3.30000000e+01	1.00000000e+00	0.00000000e+00	wt
79	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	1.00000000e+00	1.00000000e+00	0.00000000e+00	wt
80	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	2.00000000e+00	1.00000000e+00	0.00000000e+00	wt
81	2.96875000e+00	BT474	nut	Endomitosis	       NaN	       NaN	3.00000000e+00	1.00000000e+00	0.00000000e+00	wt
82	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	4.00000000e+00	1.00000000e+00	0.00000000e+00	wt
83	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	5.00000000e+00	1.00000000e+00	0.00000000e+00	wt
84	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	6.00000000e+00	1.00000000e+00	0.00000000e+00	wt
85	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	7.00000000e+00	1.00000000e+00	0.00000000e+00	wt
86	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	8.00000000e+00	1.00000000e+00	0.00000000e+00	wt
87	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	9.00000000e+00	1.00000000e+00	0.00000000e+00	wt
88	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	1.00000000e+01	1.00000000e+00	0.00000000e+00	wt
89	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	1.10000000e+01	1.00000000e+00	0.00000000e+00	wt
90	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	1.20000000e+01	1.00000000e+00	0.00000000e+00	wt
91	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	1.30000000e+01	1.00000000e+00	0.00000000e+00	wt
92	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	1.40000000e+01	1.00000000e+00	0.00000000e+00	wt
93	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	1.50000000e+01	1.00000000e+00	0.00000000e+00	wt
94	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	1.60000000e+01	1.00000000e+00	0.00000000e+00	wt
95	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	1.70000000e+01	1.00000000e+00	0.00000000e+00	wt
96	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	1.80000000e+01	1.00000000e+00	0.00000000e+00	wt
97	1.66666667e-01	BT474	nut	Division	       NaN	       NaN	1.90000000e+01	1.00000000e+00	0.00000000e+00	wt
98	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	2.00000000e+01	1.00000000e+00	0.00000000e+00	wt
99	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	2.10000000e+01	1.00000000e+00	0.00000000e+00	wt
100	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	2.20000000e+01	1.00000000e+00	0.00000000e+00	wt
101	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	2.30000000e+01	1.00000000e+00	0.00000000e+00	wt
102	2.90625000e+00	BT474	nut	Not complete	       NaN	       NaN	2.40000000e+01	1.00000000e+00	0.00000000e+00	wt
103	2.90625000e+00	BT474	nut	Not complete	       NaN	       NaN	2.50000000e+01	1.00000000e+00	0.00000000e+00	wt
104	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	2.60000000e+01	1.00000000e+00	0.00000000e+00	wt
105	1.64583333e+00	BT474	nut	Apoptosis	       NaN	       NaN	2.70000000e+01	1.00000000e+00	0.00000000e+00	wt
106	1.36458333e+00	BT474	nut	Apoptosis	       NaN	       NaN	2.80000000e+01	1.00000000e+00	0.00000000e+00	wt
107	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	2.90000000e+01	1.00000000e+00	0.00000000e+00	wt
108	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	3.00000000e+01	1.00000000e+00	0.00000000e+00	wt
109	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	3.10000000e+01	1.00000000e+00	0.00000000e+00	wt
110	3.85416667e-01	BT474	nut	Division	       NaN	       NaN	3.20000000e+01	1.00000000e+00	0.00000000e+00	wt
111	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	3.30000000e+01	1.00000000e+00	0.00000000e+00	wt
112	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	3.40000000e+01	1.00000000e+00	0.00000000e+00	wt
113	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	3.50000000e+01	1.00000000e+00	0.00000000e+00	wt
114	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	3.60000000e+01	1.00000000e+00	0.00000000e+00	wt
115	2.96875000e+00	BT474	nut	Not complete	       NaN	       NaN	3.70000000e+01	1.00000000e+00	0.00000000e+00	wt
116	2.96875000e+00	BT474	nut	Endomitosis	       NaN	       NaN	3.80000000e+01	1.00000000e+00	0.00000000e+00	wt
117	2.95833333e+00	BT474	nut	Not complete	       NaN	       NaN	3.90000000e+01	1.00000000e+00	0.00000000e+00	wt
118	2.95833333e+00	BT474	nut	Not complete	       NaN	       NaN	4.00000000e+01	1.00000000e+00	0.00000000e+00	wt
119	2.96875000e+00	BT474	etop	Endomitosis	1.34792627e-01	       NaN	1.00000000e+00	1.00000000e+00	0.00000000e+00	wt
120	2.96875000e+00	BT474	etop	Not complete	       NaN	       NaN	2.00000000e+00	1.00000000e+00	0.00000000e+00	wt
121	2.96875000e+00	BT474	etop	Not complete	       NaN	       NaN	3.00000000e+00	1.00000000e+00	0.00000000e+00	wt
122	2.96875000e+00	BT474	etop	Not complete	       NaN	       NaN	4.00000000e+00	1.00000000e+00	0.00000000e+00	wt
123	2.96875000e+00	BT474	etop	Endomitosis	1.35829493e+00	       NaN	5.00000000e+00	1.00000000e+00	0.00000000e+00	wt
124	2.96875000e+00	BT474	etop	Endomitosis	1.97004608e-01	       NaN	6.00000000e+00	1.00000000e+00	0.00000000e+00	wt
125	2.96875000e+00	BT474	etop	Endomitosis	2.45391705e-01	       NaN	7.00000000e+00	1.00000000e+00	0.00000000e+00	wt
126	2.96875000e+00	BT474	etop	Not complete	       NaN	       NaN	8.00000000e+00	1.00000000e+00	0.00000000e+00	wt
127	2.96875000e+00	BT474	etop	Not complete	       NaN	       NaN	9.00000000e+00	1.00000000e+00	0.00000000e+00	wt
128	2.96875000e+00	BT474	etop	Endomitosis	3.69815668e-01	       NaN	1.00000000e+01	1.00000000e+00	0.00000000e+00	wt
129	2.96875000e+00	BT474	etop	Endomitosis	4.80414747e-01	       NaN	1.10000000e+01	1.00000000e+00	0.00000000e+00	wt
130	2.96875000e+00	BT474	etop	Endomitosis	3.21428571e-01	       NaN	1.20000000e+01	1.00000000e+00	0.00000000e+00	wt
131	2.96875000e+00	BT474	etop	Not complete	       NaN	       NaN	1.30000000e+01	1.00000000e+00	0.00000000e+00	wt
132	2.96875000e+00	BT474	etop	Not complete	2.47119816e+00	       NaN	1.40000000e+01	1.00000000e+00	0.00000000e+00	wt
133	2.96875000e+00	BT474	etop	Not complete	       NaN	       NaN	1.50000000e+01	1.00000000e+00	0.00000000e+00	wt
134	2.96875000e+00	BT474	etop	Endomitosis	3.69815668e-01	       NaN	1.60000000e+01	1.00000000e+00	0.00000000e+00	wt
135	2.96875000e+00	BT474	etop	Not complete	2.85138249e+00	       NaN	1.70000000e+01	1.00000000e+00	0.00000000e+00	wt
136	2.96875000e+00	BT474	etop	Not complete	       NaN	       NaN	1.80000000e+01	1.00000000e+00	0.00000000e+00	wt
137	2.96875000e+00	BT474	etop	Endomitosis	1.84216590e+00	       NaN	1.90000000e+01	1.00000000e+00	0.00000000e+00	wt
138	2.96875000e+00	BT474	etop	Endomitosis	1.87672811e+00	       NaN	2.00000000e+01	1.00000000e+00	0.00000000e+00	wt
139	2.96875000e+00	BT474	etop	Not complete	       NaN	       NaN	2.10000000e+01	1.00000000e+00	0.00000000e+00	wt
140	2.96875000e+00	BT474	etop	Endomitosis	1.76267281e-01	       NaN	2.20000000e+01	1.00000000e+00	0.00000000e+00	wt
141	2.96875000e+00	BT474	etop	Not complete	2.87211982e+00	       NaN	2.30000000e+01	1.00000000e+00	0.00000000e+00	wt
142	2.96875000e+00	BT474	etop	Not complete	2.89976959e+00	       NaN	2.40000000e+01	1.00000000e+00	0.00000000e+00	wt
143	2.96875000e+00	BT474	etop	Not complete	       NaN	       NaN	2.50000000e+01	1.00000000e+00	0.00000000e+00	wt
144	2.96875000e+00	BT474	etop	Endomitosis	9.08986175e-01	       NaN	2.60000000e+01	1.00000000e+00	0.00000000e+00	wt
145	2.96875000e+00	BT474	etop	Not complete	       NaN	       NaN	2.70000000e+01	1.00000000e+00	0.00000000e+00	wt
146	2.96875000e+00	BT474	etop	Not complete	       NaN	       NaN	2.80000000e+01	1.00000000e+00	0.00000000e+00	wt
147	2.96875000e+00	BT474	etop	Not complete	       NaN	       NaN	2.90000000e+01	1.00000000e+00	0.00000000e+00	wt
148	2.96875000e+00	BT474	etop	Endomitosis	2.73041475e-01	       NaN	3.00000000e+01	1.00000000e+00	0.00000000e+00	wt
149	2.96875000e+00	BT474	etop	Not complete	       NaN	       NaN	3.10000000e+01	1.00000000e+00	0.00000000e+00	wt
150	2.96875000e+00	BT474	etop	Not complete	       NaN	       NaN	3.20000000e+01	1.00000000e+00	0.00000000e+00	wt
151	2.96875000e+00	BT474	etop	Not complete	       NaN	       NaN	3.30000000e+01	1.00000000e+00	0.00000000e+00	wt
152	2.96875000e+00	BT474	etop	Endomitosis	2.11866359e+00	       NaN	3.40000000e+01	1.00000000e+00	0.00000000e+00	wt
153	2.00000000e+00	BT474	etop	Lost cell	       NaN	       NaN	3.50000000e+01	1.00000000e+00	0.00000000e+00	wt
154	2.69791667e+00	BT474	etop	Lost cell	       NaN	       NaN	3.60000000e+01	1.00000000e+00	0.00000000e+00	wt
155	1.00000000e+00	MCF7	control	Division	6.64746544e-01	       NaN	1.00000000e+00	1.00000000e+00	0.00000000e+00	wt
156	8.75000000e-01	MCF7	control	Division	4.76910522e-01	       NaN	1.00000000e+00	2.00000000e+00	1.00000000e+00	wt
157	8.22916667e-01	MCF7	control	Division	4.69998080e-01	       NaN	1.00000000e+00	3.00000000e+00	1.00000000e+00	wt
158	3.95833333e-01	MCF7	control	Division	       NaN	       NaN	2.00000000e+00	1.00000000e+00	0.00000000e+00	wt
159	9.68750000e-01	MCF7	control	Division	5.22551843e-01	       NaN	2.00000000e+00	2.00000000e+00	1.00000000e+00	wt
160	9.68750000e-01	MCF7	control	Division	5.59418203e-01	       NaN	2.00000000e+00	3.00000000e+00	1.00000000e+00	wt
161	1.87500000e-01	MCF7	control	Division	       NaN	       NaN	3.00000000e+00	1.00000000e+00	0.00000000e+00	wt
162	8.54166667e-01	MCF7	control	Division	4.30885177e-01	       NaN	3.00000000e+00	2.00000000e+00	1.00000000e+00	wt
163	9.58333333e-01	MCF7	control	Division	4.44940476e-01	       NaN	3.00000000e+00	3.00000000e+00	1.00000000e+00	wt
164	1.26041667e+00	MCF7	control	Division	9.24539170e-01	       NaN	4.00000000e+00	1.00000000e+00	0.00000000e+00	wt
165	7.39583333e-01	MCF7	control	Division	4.04973118e-01	       NaN	4.00000000e+00	2.00000000e+00	1.00000000e+00	wt
166	9.58333333e-01	MCF7	control	Division	4.22715054e-01	       NaN	4.00000000e+00	3.00000000e+00	1.00000000e+00	wt
167	8.85416667e-01	MCF7	control	Division	5.14976959e-01	       NaN	5.00000000e+00	1.00000000e+00	0.00000000e+00	wt
168	6.97916667e-01	MCF7	control	Division	3.84235791e-01	       NaN	5.00000000e+00	2.00000000e+00	1.00000000e+00	wt
169	6.97916667e-01	MCF7	control	Division	3.63498464e-01	       NaN	5.00000000e+00	3.00000000e+00	1.00000000e+00	wt
170	6.45833333e-01	MCF7	control	Division	2.10483871e-01	       NaN	6.00000000e+00	1.00000000e+00	0.00000000e+00	wt
171	1.15625000e+00	MCF7	control	Division	7.54464286e-01	       NaN	6.00000000e+00	2.00000000e+00	1.00000000e+00	wt
172	1.05208333e+00	MCF7	control	Division	6.25316820e-01	       NaN	6.00000000e+00	3.00000000e+00	1.00000000e+00	wt
173	6.45833333e-01	MCF7	control	Division	2.36290323e-01	       NaN	7.00000000e+00	1.00000000e+00	0.00000000e+00	wt
174	8.85416667e-01	MCF7	control	Division	5.16330645e-01	       NaN	7.00000000e+00	2.00000000e+00	1.00000000e+00	wt
175	9.06250000e-01	MCF7	control	Division	5.07114055e-01	       NaN	7.00000000e+00	3.00000000e+00	1.00000000e+00	wt
176	3.12500000e-02	MCF7	control	Division	       NaN	       NaN	8.00000000e+00	1.00000000e+00	0.00000000e+00	wt
177	1.31250000e+00	MCF7	control	Division	9.48540707e-01	       NaN	8.00000000e+00	2.00000000e+00	1.00000000e+00	wt
178	1.43750000e+00	MCF7	control	Division	1.13863287e+00	       NaN	8.00000000e+00	3.00000000e+00	1.00000000e+00	wt
179	3.70833333e+00	MCF7	control	Not complete	       NaN	       NaN	9.00000000e+00	1.00000000e+00	0.00000000e+00	wt
180	7.29166666e-02	MCF7	control	Apoptosis	       NaN	       NaN	1.00000000e+01	1.00000000e+00	0.00000000e+00	wt
181	3.12500000e-02	MCF7	control	Division	       NaN	       NaN	1.10000000e+01	1.00000000e+00	0.00000000e+00	wt
182	9.16666667e-01	MCF7	control	Division	4.77918587e-01	       NaN	1.10000000e+01	2.00000000e+00	1.00000000e+00	wt
183	8.85416667e-01	MCF7	control	Division	4.68701997e-01	       NaN	1.10000000e+01	3.00000000e+00	1.00000000e+00	wt
184	5.93750000e-01	MCF7	control	Division	4.76958526e-02	       NaN	1.20000000e+01	1.00000000e+00	0.00000000e+00	wt
185	9.47916667e-01	MCF7	control	Division	4.57814900e-01	       NaN	1.20000000e+01	2.00000000e+00	1.00000000e+00	wt
186	9.58333333e-01	MCF7	control	Division	4.78552227e-01	       NaN	1.20000000e+01	3.00000000e+00	1.00000000e+00	wt
187	4.68750000e-01	MCF7	control	Division	       NaN	       NaN	1.30000000e+01	1.00000000e+00	0.00000000e+00	wt
188	9.89583333e-01	MCF7	control	Division	4.75211214e-01	       NaN	1.30000000e+01	2.00000000e+00	1.00000000e+00	wt
189	9.58333333e-01	MCF7	control	Division	4.36501536e-01	       NaN	1.30000000e+01	3.00000000e+00	1.00000000e+00	wt
190	1.97916667e-01	MCF7	control	Division	       NaN	       NaN	1.40000000e+01	1.00000000e+00	0.00000000e+00	wt
191	9.16666667e-01	MCF7	control	Division	4.88210446e-01	       NaN	1.40000000e+01	2.00000000e+00	1.00000000e+00	wt
192	1.28125000e+00	MCF7	control	Division	9.40975422e-01	       NaN	1.40000000e+01	3.00000000e+00	1.00000000e+00	wt
193	3.33333333e-01	MCF7	control	Division	       NaN	       NaN	1.50000000e+01	1.00000000e+00	0.00000000e+00	wt
194	1.30208333e+00	MCF7	control	Division	8.35051843e-01	       NaN	1.50000000e+01	2.00000000e+00	1.00000000e+00	wt
195	1.17708333e+00	MCF7	control	Division	7.87125576e-01	       NaN	1.50000000e+01	3.00000000e+00	1.00000000e+00	wt
196	1.45833333e-01	MCF7	control	Division	       NaN	       NaN	1.60000000e+01	1.00000000e+00	0.00000000e+00	wt
197	7.18750000e-01	MCF7	control	Division	3.40869816e-01	       NaN	1.60000000e+01	2.00000000e+00	1.00000000e+00	wt
198	8.12500000e-01	MCF7	control	Division	4.63335254e-01	       NaN	1.60000000e+01	3.00000000e+00	1.00000000e+00	wt
199	5.20833334e-02	MCF7	control	Division	       NaN	       NaN	1.70000000e+01	1.00000000e+00	0.00000000e+00	wt
200	9.27083333e-01	MCF7	control	Division	4.57085253e-01	       NaN	1.70000000e+01	2.00000000e+00	1.00000000e+00	wt
201	8.54166667e-01	MCF7	control	Division	4.31739631e-01	       NaN	1.70000000e+01	3.00000000e+00	1.00000000e+00	wt
202	5.20833333e-01	MCF7	control	Division	       NaN	       NaN	1.80000000e+01	1.00000000e+00	0.00000000e+00	wt
203	1.13541667e+00	MCF7	control	Division	5.15754608e-01	       NaN	1.80000000e+01	2.00000000e+00	1.00000000e+00	wt
204	1.26041667e+00	MCF7	control	Division	7.73819124e-01	       NaN	1.80000000e+01	3.00000000e+00	1.00000000e+00	wt
205	2.50000000e-01	MCF7	control	Division	       NaN	       NaN	1.90000000e+01	1.00000000e+00	0.00000000e+00	wt
206	9.37500000e-01	MCF7	control	Division	4.66081029e-01	       NaN	1.90000000e+01	2.00000000e+00	1.00000000e+00	wt
207	9.58333333e-01	MCF7	control	Division	4.49721582e-01	       NaN	1.90000000e+01	3.00000000e+00	1.00000000e+00	wt
208	4.06250000e-01	MCF7	control	Division	       NaN	       NaN	2.00000000e+01	1.00000000e+00	0.00000000e+00	wt
209	9.27083333e-01	MCF7	control	Division	4.77572965e-01	       NaN	2.00000000e+01	2.00000000e+00	1.00000000e+00	wt
210	9.06250000e-01	MCF7	control	Division	4.45314900e-01	       NaN	2.00000000e+01	3.00000000e+00	1.00000000e+00	wt
211	3.85416667e-01	MCF7	control	Division	       NaN	       NaN	2.10000000e+01	1.00000000e+00	0.00000000e+00	wt
212	9.58333333e-01	MCF7	control	Division	4.63613671e-01	       NaN	2.10000000e+01	2.00000000e+00	1.00000000e+00	wt
213	9.89583333e-01	MCF7	control	Division	5.32738095e-01	       NaN	2.10000000e+01	3.00000000e+00	1.00000000e+00	wt
214	3.64583333e-01	MCF7	control	Division	       NaN	       NaN	2.20000000e+01	1.00000000e+00	0.00000000e+00	wt
215	9.79166667e-01	MCF7	control	Division	5.12096774e-01	       NaN	2.20000000e+01	2.00000000e+00	1.00000000e+00	wt
216	8.85416667e-01	MCF7	control	Division	4.92972350e-01	       NaN	2.20000000e+01	3.00000000e+00	1.00000000e+00	wt
217	3.70833333e+00	MCF7	control	Not complete	       NaN	       NaN	2.30000000e+01	1.00000000e+00	0.00000000e+00	wt
